Sensor,Value,stamp
,inf,"2024-02-26 01:14:41.000000"
MQ5,inf,"2024-02-26 01:14:41.000000"
MQ6,inf,"2024-02-26 01:14:42.000000"
MQ7,inf,"2024-02-26 01:14:42.000000"
MQ8,inf,"2024-02-26 01:14:42.000000"
TGS2600,0.964582264,"2024-02-26 01:14:43.000000"
TGS2602,0.968155622,"2024-02-26 01:14:43.000000"
TGS2612,0.968224585,"2024-02-26 01:14:44.000000"
MQ9,inf,"2024-02-26 01:14:44.000000"
MQ10,inf,"2024-02-26 01:14:47.000000"
MQ11,inf,"2024-02-26 01:14:48.000000"
TGS2620,1.255828142,"2024-02-26 01:14:49.000000"
TGS2603,0.081540205,"2024-02-26 01:14:49.000000"
TGS2610,0.487364620,"2024-02-26 01:14:50.000000"
TGS2611,0.331797242,"2024-02-26 01:14:51.000000"
MQ12,inf,"2024-02-26 01:14:53.000000"
,inf,"2024-02-26 01:14:58.000000"
MQ5,inf,"2024-02-26 01:14:58.000000"
MQ6,inf,"2024-02-26 01:15:00.000000"
MQ7,inf,"2024-02-26 01:15:00.000000"
MQ8,inf,"2024-02-26 01:15:01.000000"
TGS2600,1.980268240,"2024-02-26 01:15:02.000000"
TGS2602,1.929899693,"2024-02-26 01:15:02.000000"
TGS2612,1.974921703,"2024-02-26 01:15:03.000000"
MQ9,inf,"2024-02-26 01:15:03.000000"
MQ10,inf,"2024-02-26 01:15:04.000000"
MQ11,inf,"2024-02-26 01:15:04.000000"
TGS2620,1.549875736,"2024-02-26 01:15:05.000000"
TGS2603,0.163080409,"2024-02-26 01:15:06.000000"
TGS2610,1.462093830,"2024-02-26 01:15:06.000000"
TGS2611,0.497695863,"2024-02-26 01:15:07.000000"
MQ12,inf,"2024-02-26 01:15:09.000000"
,inf,"2024-02-26 01:15:12.000000"
MQ5,inf,"2024-02-26 01:15:12.000000"
MQ6,inf,"2024-02-26 01:15:14.000000"
MQ7,inf,"2024-02-26 01:15:14.000000"
MQ8,inf,"2024-02-26 01:15:16.000000"
TGS2600,1.731137753,"2024-02-26 01:15:17.000000"
TGS2602,1.743962407,"2024-02-26 01:15:17.000000"
TGS2612,1.712026238,"2024-02-26 01:15:19.000000"
,inf,"2024-02-26 01:15:24.000000"
MQ5,inf,"2024-02-26 01:15:25.000000"
MQ6,inf,"2024-02-26 01:15:25.000000"
MQ7,inf,"2024-02-26 01:15:26.000000"
MQ8,inf,"2024-02-26 01:15:26.000000"
TGS2600,1.609766483,"2024-02-26 01:15:27.000000"
TGS2602,1.602906704,"2024-02-26 01:15:27.000000"
TGS2612,1.583784580,"2024-02-26 01:15:29.000000"
MQ9,inf,"2024-02-26 01:15:29.000000"
MQ10,inf,"2024-02-26 01:15:30.000000"
MQ11,inf,"2024-02-26 01:15:31.000000"
TGS2620,1.366096020,"2024-02-26 01:15:31.000000"
TGS2603,0.163080409,"2024-02-26 01:15:32.000000"
TGS2610,0.487364620,"2024-02-26 01:15:32.000000"
TGS2611,1.990783453,"2024-02-26 01:15:33.000000"
MQ12,inf,"2024-02-26 01:15:33.000000"
,inf,"2024-02-26 01:15:36.000000"
MQ5,inf,"2024-02-26 01:15:36.000000"
MQ6,inf,"2024-02-26 01:15:36.000000"
MQ7,inf,"2024-02-26 01:15:37.000000"
MQ8,inf,"2024-02-26 01:15:37.000000"
TGS2600,1.469231248,"2024-02-26 01:15:38.000000"
TGS2602,1.474674106,"2024-02-26 01:15:39.000000"
TGS2612,1.468367100,"2024-02-26 01:15:39.000000"
MQ9,inf,"2024-02-26 01:15:40.000000"
MQ10,inf,"2024-02-26 01:15:41.000000"
MQ11,inf,"2024-02-26 01:15:41.000000"
TGS2620,1.286458135,"2024-02-26 01:15:42.000000"
TGS2603,0.163080409,"2024-02-26 01:15:42.000000"
TGS2610,1.949458480,"2024-02-26 01:15:43.000000"
TGS2611,0.497695863,"2024-02-26 01:15:43.000000"
MQ12,inf,"2024-02-26 01:15:44.000000"
,inf,"2024-02-26 01:15:47.000000"
MQ5,inf,"2024-02-26 01:15:47.000000"
MQ6,inf,"2024-02-26 01:15:48.000000"
MQ7,inf,"2024-02-26 01:15:49.000000"
MQ8,inf,"2024-02-26 01:15:49.000000"
TGS2600,1.360635877,"2024-02-26 01:15:50.000000"
TGS2602,1.346441627,"2024-02-26 01:15:51.000000"
TGS2612,1.391422153,"2024-02-26 01:15:52.000000"
MQ9,inf,"2024-02-26 01:15:53.000000"
MQ10,inf,"2024-02-26 01:15:54.000000"
MQ11,inf,"2024-02-26 01:15:54.000000"
TGS2620,1.206820250,"2024-02-26 01:15:54.000000"
TGS2603,0.122310303,"2024-02-26 01:15:55.000000"
TGS2610,0.649819493,"2024-02-26 01:15:56.000000"
TGS2611,0.165898621,"2024-02-26 01:15:58.000000"
MQ12,inf,"2024-02-26 01:15:58.000000"
,inf,"2024-02-26 01:16:02.000000"
MQ5,inf,"2024-02-26 01:16:02.000000"
MQ6,inf,"2024-02-26 01:16:03.000000"
MQ7,inf,"2024-02-26 01:16:03.000000"
MQ8,inf,"2024-02-26 01:16:04.000000"
TGS2600,1.239264607,"2024-02-26 01:16:05.000000"
TGS2602,1.243855596,"2024-02-26 01:16:05.000000"
TGS2612,1.231119990,"2024-02-26 01:16:06.000000"
MQ9,inf,"2024-02-26 01:16:06.000000"
MQ10,inf,"2024-02-26 01:16:08.000000"
MQ11,inf,"2024-02-26 01:16:08.000000"
TGS2620,1.133308411,"2024-02-26 01:16:08.000000"
TGS2603,0.081540205,"2024-02-26 01:16:09.000000"
TGS2610,0.487364620,"2024-02-26 01:16:09.000000"
TGS2611,0.331797242,"2024-02-26 01:16:10.000000"
MQ12,inf,"2024-02-26 01:16:10.000000"
,inf,"2024-02-26 01:16:12.000000"
MQ5,inf,"2024-02-26 01:16:13.000000"
MQ6,inf,"2024-02-26 01:16:13.000000"
MQ7,inf,"2024-02-26 01:16:14.000000"
MQ8,inf,"2024-02-26 01:16:14.000000"
TGS2600,1.213712811,"2024-02-26 01:16:16.000000"
TGS2602,1.160504460,"2024-02-26 01:16:16.000000"
,inf,"2024-02-26 01:16:21.000000"
MQ5,inf,"2024-02-26 01:16:22.000000"
MQ6,inf,"2024-02-26 01:16:24.000000"
MQ7,inf,"2024-02-26 01:16:25.000000"
MQ8,inf,"2024-02-26 01:16:25.000000"
TGS2600,1.105117440,"2024-02-26 01:16:26.000000"
,inf,"2024-02-26 01:16:31.000000"
MQ5,inf,"2024-02-26 01:16:31.000000"
MQ6,inf,"2024-02-26 01:16:33.000000"
MQ7,inf,"2024-02-26 01:16:33.000000"
MQ8,inf,"2024-02-26 01:16:34.000000"
TGS2600,1.079565644,"2024-02-26 01:16:34.000000"
TGS2602,1.128446341,"2024-02-26 01:16:35.000000"
TGS2612,1.077229977,"2024-02-26 01:16:35.000000"
MQ9,inf,"2024-02-26 01:16:36.000000"
MQ10,inf,"2024-02-26 01:16:37.000000"
MQ11,inf,"2024-02-26 01:16:37.000000"
TGS2620,1.035292506,"2024-02-26 01:16:38.000000"
TGS2603,0.122310303,"2024-02-26 01:16:39.000000"
TGS2610,0.487364620,"2024-02-26 01:16:39.000000"
TGS2611,1.493087530,"2024-02-26 01:16:40.000000"
MQ12,inf,"2024-02-26 01:16:41.000000"
,inf,"2024-02-26 01:16:43.000000"
MQ5,inf,"2024-02-26 01:16:44.000000"
MQ6,inf,"2024-02-26 01:16:44.000000"
MQ7,inf,"2024-02-26 01:16:44.000000"
MQ8,inf,"2024-02-26 01:16:45.000000"
TGS2600,1.041237831,"2024-02-26 01:16:46.000000"
TGS2602,1.045095205,"2024-02-26 01:16:46.000000"
TGS2612,1.038757563,"2024-02-26 01:16:47.000000"
MQ9,inf,"2024-02-26 01:16:50.000000"
MQ10,inf,"2024-02-26 01:16:50.000000"
MQ11,inf,"2024-02-26 01:16:51.000000"
TGS2620,1.016914487,"2024-02-26 01:16:51.000000"
TGS2603,0.122310303,"2024-02-26 01:16:52.000000"
TGS2610,0.487364620,"2024-02-26 01:16:53.000000"
TGS2611,0.165898621,"2024-02-26 01:16:53.000000"
MQ12,inf,"2024-02-26 01:16:55.000000"
,inf,"2024-02-26 01:16:57.000000"
MQ5,inf,"2024-02-26 01:16:58.000000"
MQ6,inf,"2024-02-26 01:16:58.000000"
MQ7,inf,"2024-02-26 01:16:59.000000"
MQ8,inf,"2024-02-26 01:17:00.000000"
TGS2600,1.015685916,"2024-02-26 01:17:00.000000"
TGS2602,1.019448638,"2024-02-26 01:17:01.000000"
TGS2612,1.019521236,"2024-02-26 01:17:01.000000"
MQ9,inf,"2024-02-26 01:17:02.000000"
MQ10,inf,"2024-02-26 01:17:03.000000"
MQ11,inf,"2024-02-26 01:17:03.000000"
TGS2620,0.998536527,"2024-02-26 01:17:04.000000"
TGS2603,0.081540205,"2024-02-26 01:17:05.000000"
TGS2610,0.487364620,"2024-02-26 01:17:05.000000"
TGS2611,1.658986211,"2024-02-26 01:17:06.000000"
MQ12,inf,"2024-02-26 01:17:07.000000"
,inf,"2024-02-26 01:17:09.000000"
MQ5,inf,"2024-02-26 01:17:09.000000"
MQ6,inf,"2024-02-26 01:17:11.000000"
MQ7,inf,"2024-02-26 01:17:11.000000"
MQ8,inf,"2024-02-26 01:17:11.000000"
TGS2600,1.009297967,"2024-02-26 01:17:12.000000"
TGS2602,1.013036966,"2024-02-26 01:17:13.000000"
TGS2612,1.013109207,"2024-02-26 01:17:15.000000"
MQ9,inf,"2024-02-26 01:17:16.000000"
MQ10,inf,"2024-02-26 01:17:17.000000"
MQ11,inf,"2024-02-26 01:17:17.000000"
TGS2620,0.992410541,"2024-02-26 01:17:17.000000"
TGS2603,0.122310303,"2024-02-26 01:17:18.000000"
TGS2610,0.324909747,"2024-02-26 01:17:20.000000"
TGS2611,0.165898621,"2024-02-26 01:17:21.000000"
MQ12,inf,"2024-02-26 01:17:22.000000"
,inf,"2024-02-26 01:17:24.000000"
MQ5,inf,"2024-02-26 01:17:25.000000"
MQ6,inf,"2024-02-26 01:17:25.000000"
MQ7,inf,"2024-02-26 01:17:25.000000"
MQ8,inf,"2024-02-26 01:17:27.000000"
TGS2600,1.002910018,"2024-02-26 01:17:28.000000"
TGS2602,1.006625414,"2024-02-26 01:17:29.000000"
TGS2612,1.006697059,"2024-02-26 01:17:29.000000"
MQ9,inf,"2024-02-26 01:17:31.000000"
MQ10,inf,"2024-02-26 01:17:32.000000"
MQ11,inf,"2024-02-26 01:17:32.000000"
TGS2620,0.992410541,"2024-02-26 01:17:35.000000"
TGS2603,0.326160818,"2024-02-26 01:17:36.000000"
TGS2610,0.324909747,"2024-02-26 01:17:36.000000"
TGS2611,0.331797242,"2024-02-26 01:17:37.000000"
MQ12,inf,"2024-02-26 01:17:37.000000"
,inf,"2024-02-26 01:17:41.000000"
MQ5,inf,"2024-02-26 01:17:41.000000"
MQ6,inf,"2024-02-26 01:17:43.000000"
MQ7,inf,"2024-02-26 01:17:44.000000"
MQ8,inf,"2024-02-26 01:17:44.000000"
TGS2600,0.983746171,"2024-02-26 01:17:45.000000"
TGS2602,1.000213742,"2024-02-26 01:17:46.000000"
TGS2612,0.987460852,"2024-02-26 01:17:46.000000"
MQ9,inf,"2024-02-26 01:17:46.000000"
MQ10,inf,"2024-02-26 01:17:48.000000"
MQ11,inf,"2024-02-26 01:17:48.000000"
TGS2620,0.986284554,"2024-02-26 01:17:49.000000"
TGS2603,0.122310303,"2024-02-26 01:17:50.000000"
,inf,"2024-02-26 01:17:55.000000"
MQ5,inf,"2024-02-26 01:17:55.000000"
MQ6,inf,"2024-02-26 01:17:56.000000"
MQ7,inf,"2024-02-26 01:17:57.000000"
MQ8,inf,"2024-02-26 01:17:58.000000"
TGS2600,0.977358222,"2024-02-26 01:17:58.000000"
TGS2602,0.980978906,"2024-02-26 01:18:00.000000"
TGS2612,0.981048763,"2024-02-26 01:18:00.000000"
MQ9,inf,"2024-02-26 01:18:01.000000"
MQ10,inf,"2024-02-26 01:18:01.000000"
MQ11,inf,"2024-02-26 01:18:02.000000"
TGS2620,0.986284554,"2024-02-26 01:18:02.000000"
TGS2603,0.163080409,"2024-02-26 01:18:03.000000"
TGS2610,0.487364620,"2024-02-26 01:18:04.000000"
TGS2611,0.663594484,"2024-02-26 01:18:04.000000"
MQ12,inf,"2024-02-26 01:18:04.000000"
,inf,"2024-02-26 01:18:07.000000"
MQ5,inf,"2024-02-26 01:18:07.000000"
MQ6,inf,"2024-02-26 01:18:07.000000"
MQ7,inf,"2024-02-26 01:18:07.000000"
MQ8,inf,"2024-02-26 01:18:08.000000"
TGS2600,0.977358222,"2024-02-26 01:18:08.000000"
TGS2602,0.980978906,"2024-02-26 01:18:09.000000"
TGS2612,0.981048763,"2024-02-26 01:18:09.000000"
MQ9,inf,"2024-02-26 01:18:09.000000"
MQ10,inf,"2024-02-26 01:18:10.000000"
MQ11,inf,"2024-02-26 01:18:10.000000"
TGS2620,0.986284554,"2024-02-26 01:18:10.000000"
TGS2603,0.081540205,"2024-02-26 01:18:11.000000"
TGS2610,0.324909747,"2024-02-26 01:18:11.000000"
TGS2611,0.663594484,"2024-02-26 01:18:11.000000"
MQ12,inf,"2024-02-26 01:18:12.000000"
,inf,"2024-02-26 01:18:14.000000"
MQ5,inf,"2024-02-26 01:18:15.000000"
MQ6,inf,"2024-02-26 01:18:16.000000"
MQ7,inf,"2024-02-26 01:18:17.000000"
MQ8,inf,"2024-02-26 01:18:17.000000"
TGS2600,0.970970213,"2024-02-26 01:18:18.000000"
TGS2602,0.974567235,"2024-02-26 01:18:18.000000"
TGS2612,0.974636674,"2024-02-26 01:18:19.000000"
MQ9,inf,"2024-02-26 01:18:20.000000"
MQ10,inf,"2024-02-26 01:18:21.000000"
MQ11,inf,"2024-02-26 01:18:21.000000"
TGS2620,0.980158567,"2024-02-26 01:18:22.000000"
TGS2603,0.122310303,"2024-02-26 01:18:22.000000"
TGS2610,0.487364620,"2024-02-26 01:18:23.000000"
TGS2611,0.497695863,"2024-02-26 01:18:24.000000"
MQ12,nan,"2024-02-26 01:18:24.000000"
,inf,"2024-02-26 01:18:27.000000"
MQ5,inf,"2024-02-26 01:18:27.000000"
MQ6,inf,"2024-02-26 01:18:28.000000"
MQ7,inf,"2024-02-26 01:18:29.000000"
MQ8,inf,"2024-02-26 01:18:30.000000"
TGS2600,0.964582264,"2024-02-26 01:18:31.000000"
TGS2602,0.968155622,"2024-02-26 01:18:35.000000"
TGS2612,0.974636674,"2024-02-26 01:18:35.000000"
MQ9,inf,"2024-02-26 01:18:36.000000"
MQ10,inf,"2024-02-26 01:18:36.000000"
MQ11,inf,"2024-02-26 01:18:41.000000"
,inf,"2024-02-26 01:18:43.000000"
MQ5,inf,"2024-02-26 01:18:43.000000"
MQ6,inf,"2024-02-26 01:18:44.000000"
MQ7,inf,"2024-02-26 01:18:44.000000"
MQ8,inf,"2024-02-26 01:18:45.000000"
TGS2600,0.970970213,"2024-02-26 01:18:46.000000"
TGS2602,1.025860310,"2024-02-26 01:18:47.000000"
TGS2612,0.968224585,"2024-02-26 01:18:47.000000"
MQ9,inf,"2024-02-26 01:18:49.000000"
MQ10,inf,"2024-02-26 01:18:51.000000"
MQ11,inf,"2024-02-26 01:18:52.000000"
TGS2620,0.980158567,"2024-02-26 01:18:52.000000"
TGS2603,0.081540205,"2024-02-26 01:18:53.000000"
TGS2610,0.487364620,"2024-02-26 01:18:53.000000"
,inf,"2024-02-26 01:18:58.000000"
MQ5,inf,"2024-02-26 01:18:59.000000"
MQ6,inf,"2024-02-26 01:19:00.000000"
MQ7,inf,"2024-02-26 01:19:01.000000"
MQ8,inf,"2024-02-26 01:19:01.000000"
TGS2600,0.964582264,"2024-02-26 01:19:02.000000"
TGS2602,1.025860310,"2024-02-26 01:19:02.000000"
TGS2612,0.968224585,"2024-02-26 01:19:03.000000"
MQ9,inf,"2024-02-26 01:19:04.000000"
MQ10,inf,"2024-02-26 01:19:04.000000"
MQ11,inf,"2024-02-26 01:19:05.000000"
TGS2620,1.016914487,"2024-02-26 01:19:05.000000"
TGS2603,0.081540205,"2024-02-26 01:19:06.000000"
TGS2610,0.324909747,"2024-02-26 01:19:06.000000"
TGS2611,0.331797242,"2024-02-26 01:19:06.000000"
MQ12,inf,"2024-02-26 01:19:07.000000"
,inf,"2024-02-26 01:19:09.000000"
MQ5,inf,"2024-02-26 01:19:10.000000"
MQ6,inf,"2024-02-26 01:19:10.000000"
MQ7,inf,"2024-02-26 01:19:11.000000"
MQ8,inf,"2024-02-26 01:19:11.000000"
TGS2600,0.964582264,"2024-02-26 01:19:12.000000"
TGS2602,0.961744010,"2024-02-26 01:19:12.000000"
TGS2612,1.025933385,"2024-02-26 01:19:12.000000"
MQ9,inf,"2024-02-26 01:19:13.000000"
MQ10,inf,"2024-02-26 01:19:13.000000"
MQ11,inf,"2024-02-26 01:19:14.000000"
TGS2620,0.974032581,"2024-02-26 01:19:16.000000"
TGS2603,0.122310303,"2024-02-26 01:19:16.000000"
TGS2610,0.487364620,"2024-02-26 01:19:17.000000"
TGS2611,1.990783453,"2024-02-26 01:19:18.000000"
MQ12,inf,"2024-02-26 01:19:19.000000"
,inf,"2024-02-26 01:19:21.000000"
MQ5,inf,"2024-02-26 01:19:22.000000"
MQ6,inf,"2024-02-26 01:19:22.000000"
MQ7,inf,"2024-02-26 01:19:23.000000"
MQ8,inf,"2024-02-26 01:19:24.000000"
TGS2600,0.964582264,"2024-02-26 01:19:25.000000"
TGS2602,0.968155622,"2024-02-26 01:19:26.000000"
TGS2612,0.968224585,"2024-02-26 01:19:27.000000"
MQ9,inf,"2024-02-26 01:19:28.000000"
MQ10,inf,"2024-02-26 01:19:29.000000"
MQ11,inf,"2024-02-26 01:19:30.000000"
TGS2620,0.974032581,"2024-02-26 01:19:32.000000"
TGS2603,0.122310303,"2024-02-26 01:19:33.000000"
TGS2610,0.324909747,"2024-02-26 01:19:33.000000"
TGS2611,0.331797242,"2024-02-26 01:19:34.000000"
MQ12,inf,"2024-02-26 01:19:34.000000"
,inf,"2024-02-26 01:19:37.000000"
MQ5,inf,"2024-02-26 01:19:38.000000"
MQ6,inf,"2024-02-26 01:19:39.000000"
MQ7,inf,"2024-02-26 01:19:40.000000"
MQ8,inf,"2024-02-26 01:19:40.000000"
TGS2600,0.958194315,"2024-02-26 01:19:42.000000"
TGS2602,0.961744010,"2024-02-26 01:19:43.000000"
TGS2612,0.961812496,"2024-02-26 01:19:43.000000"
MQ9,inf,"2024-02-26 01:19:44.000000"
MQ10,inf,"2024-02-26 01:19:45.000000"
MQ11,inf,"2024-02-26 01:19:46.000000"
TGS2620,0.967906594,"2024-02-26 01:19:47.000000"
TGS2603,0.122310303,"2024-02-26 01:19:47.000000"
TGS2610,0.649819493,"2024-02-26 01:19:48.000000"
TGS2611,0.497695863,"2024-02-26 01:19:48.000000"
MQ12,inf,"2024-02-26 01:19:48.000000"
,inf,"2024-02-26 01:19:51.000000"
MQ5,inf,"2024-02-26 01:19:51.000000"
MQ6,inf,"2024-02-26 01:19:51.000000"
MQ7,inf,"2024-02-26 01:19:52.000000"
MQ8,inf,"2024-02-26 01:19:52.000000"
TGS2600,0.964582264,"2024-02-26 01:19:53.000000"
TGS2602,0.968155622,"2024-02-26 01:19:53.000000"
TGS2612,0.968224585,"2024-02-26 01:19:54.000000"
MQ9,inf,"2024-02-26 01:19:54.000000"
MQ10,inf,"2024-02-26 01:19:55.000000"
MQ11,inf,"2024-02-26 01:19:55.000000"
TGS2620,0.974032581,"2024-02-26 01:19:55.000000"
TGS2603,0.122310303,"2024-02-26 01:19:56.000000"
TGS2610,0.324909747,"2024-02-26 01:19:56.000000"
TGS2611,0.331797242,"2024-02-26 01:19:56.000000"
MQ12,inf,"2024-02-26 01:19:57.000000"
,inf,"2024-02-26 01:19:59.000000"
MQ5,inf,"2024-02-26 01:20:00.000000"
MQ6,inf,"2024-02-26 01:20:03.000000"
MQ7,inf,"2024-02-26 01:20:03.000000"
MQ8,inf,"2024-02-26 01:20:04.000000"
TGS2600,0.964582264,"2024-02-26 01:20:05.000000"
TGS2602,0.968155622,"2024-02-26 01:20:06.000000"
TGS2612,1.025933385,"2024-02-26 01:20:06.000000"
MQ9,inf,"2024-02-26 01:20:07.000000"
MQ10,inf,"2024-02-26 01:20:07.000000"
MQ11,inf,"2024-02-26 01:20:09.000000"
TGS2620,1.016914487,"2024-02-26 01:20:09.000000"
TGS2603,0.040770102,"2024-02-26 01:20:10.000000"
TGS2610,1.949458480,"2024-02-26 01:20:11.000000"
TGS2611,1.658986211,"2024-02-26 01:20:12.000000"
MQ12,inf,"2024-02-26 01:20:13.000000"
,inf,"2024-02-26 01:20:16.000000"
MQ5,inf,"2024-02-26 01:20:16.000000"
MQ6,inf,"2024-02-26 01:20:18.000000"
MQ7,inf,"2024-02-26 01:20:18.000000"
MQ8,inf,"2024-02-26 01:20:19.000000"
TGS2600,0.964582264,"2024-02-26 01:20:20.000000"
TGS2602,0.968155622,"2024-02-26 01:20:20.000000"
TGS2612,0.968224585,"2024-02-26 01:20:20.000000"
MQ9,inf,"2024-02-26 01:20:20.000000"
MQ10,inf,"2024-02-26 01:20:21.000000"
MQ11,inf,"2024-02-26 01:20:21.000000"
TGS2620,0.967906594,"2024-02-26 01:20:21.000000"
TGS2603,0.122310303,"2024-02-26 01:20:22.000000"
TGS2610,0.487364620,"2024-02-26 01:20:22.000000"
TGS2611,0.497695863,"2024-02-26 01:20:23.000000"
MQ12,inf,"2024-02-26 01:20:23.000000"
,inf,"2024-02-26 01:20:26.000000"
MQ5,inf,"2024-02-26 01:20:26.000000"
MQ6,inf,"2024-02-26 01:20:27.000000"
MQ7,inf,"2024-02-26 01:20:27.000000"
MQ8,inf,"2024-02-26 01:20:27.000000"
TGS2600,0.958194315,"2024-02-26 01:20:28.000000"
TGS2602,0.961744010,"2024-02-26 01:20:28.000000"
TGS2612,0.968224585,"2024-02-26 01:20:30.000000"
MQ9,inf,"2024-02-26 01:20:31.000000"
MQ10,inf,"2024-02-26 01:20:31.000000"
MQ11,inf,"2024-02-26 01:20:32.000000"
TGS2620,0.967906594,"2024-02-26 01:20:33.000000"
TGS2603,0.081540205,"2024-02-26 01:20:33.000000"
TGS2610,0.324909747,"2024-02-26 01:20:34.000000"
TGS2611,0.331797242,"2024-02-26 01:20:35.000000"
MQ12,inf,"2024-02-26 01:20:36.000000"
,inf,"2024-02-26 01:20:38.000000"
MQ5,inf,"2024-02-26 01:20:39.000000"
MQ6,inf,"2024-02-26 01:20:39.000000"
MQ7,inf,"2024-02-26 01:20:41.000000"
MQ8,inf,"2024-02-26 01:20:41.000000"
,inf,"2024-02-26 01:20:46.000000"
MQ5,inf,"2024-02-26 01:20:47.000000"
MQ6,inf,"2024-02-26 01:20:48.000000"
MQ7,inf,"2024-02-26 01:20:50.000000"
MQ8,inf,"2024-02-26 01:20:50.000000"
TGS2600,0.958194315,"2024-02-26 01:20:51.000000"
TGS2602,0.961744010,"2024-02-26 01:20:51.000000"
TGS2612,0.961812496,"2024-02-26 01:20:52.000000"
MQ9,inf,"2024-02-26 01:20:52.000000"
MQ10,inf,"2024-02-26 01:20:53.000000"
MQ11,inf,"2024-02-26 01:20:53.000000"
TGS2620,0.967906594,"2024-02-26 01:20:54.000000"
TGS2603,0.122310303,"2024-02-26 01:20:54.000000"
TGS2610,0.487364620,"2024-02-26 01:20:55.000000"
TGS2611,0.331797242,"2024-02-26 01:20:55.000000"
MQ12,inf,"2024-02-26 01:20:56.000000"
,inf,"2024-02-26 01:20:58.000000"
MQ5,inf,"2024-02-26 01:20:59.000000"
MQ6,inf,"2024-02-26 01:20:59.000000"
MQ7,inf,"2024-02-26 01:21:00.000000"
MQ8,inf,"2024-02-26 01:21:00.000000"
TGS2600,0.958194315,"2024-02-26 01:21:02.000000"
TGS2602,0.961744010,"2024-02-26 01:21:03.000000"
TGS2612,0.961812496,"2024-02-26 01:21:03.000000"
MQ9,inf,"2024-02-26 01:21:04.000000"
MQ10,inf,"2024-02-26 01:21:04.000000"
MQ11,inf,"2024-02-26 01:21:05.000000"
TGS2620,0.967906594,"2024-02-26 01:21:05.000000"
TGS2603,0.122310303,"2024-02-26 01:21:06.000000"
TGS2610,0.324909747,"2024-02-26 01:21:06.000000"
TGS2611,0.497695863,"2024-02-26 01:21:07.000000"
MQ12,inf,"2024-02-26 01:21:08.000000"
,inf,"2024-02-26 01:21:10.000000"
MQ5,inf,"2024-02-26 01:21:10.000000"
MQ6,inf,"2024-02-26 01:21:11.000000"
MQ7,inf,"2024-02-26 01:21:11.000000"
MQ8,inf,"2024-02-26 01:21:12.000000"
TGS2600,0.958194315,"2024-02-26 01:21:12.000000"
TGS2602,0.961744010,"2024-02-26 01:21:13.000000"
TGS2612,0.961812496,"2024-02-26 01:21:13.000000"
MQ9,inf,"2024-02-26 01:21:14.000000"
MQ10,inf,"2024-02-26 01:21:14.000000"
MQ11,inf,"2024-02-26 01:21:15.000000"
